date,acute_respiratory_infection_counts
2025-03-01,202.0
2025-03-02,228.0
2025-03-03,222.0
2025-03-04,190.0
2025-03-05,197.0
2025-03-06,227.0
2025-03-07,240.0
2025-03-08,217.0
2025-03-09,213.0
2025-03-10,249.0
2025-03-11,219.0
2025-03-12,175.0
2025-03-13,205.0
2025-03-14,194.0
2025-03-15,209.0
2025-03-16,232.0
2025-03-17,229.0
2025-03-18,216.0
2025-03-19,210.0
2025-03-20,194.0
2025-03-21,209.0
2025-03-22,217.0
2025-03-23,244.0
2025-03-24,208.0
2025-03-25,233.0
2025-03-26,192.0
2025-03-27,204.0
2025-03-28,187.0
2025-03-29,191.0
2025-03-30,201.0
2025-03-31,204.0
2025-04-01,207.0
2025-04-02,233.0
2025-04-03,215.0
2025-04-04,208.0
2025-04-05,215.0
2025-04-06,208.0
2025-04-07,220.0
2025-04-08,213.0
2025-04-09,209.0
2025-04-10,228.0
2025-04-11,190.0
2025-04-12,201.0
2025-04-13,213.0
2025-04-14,219.0
2025-04-15,207.0
2025-04-16,197.0
2025-04-17,197.0
2025-04-18,210.0
2025-04-19,197.0
2025-04-20,194.0
2025-04-21,234.0
2025-04-22,199.0
2025-04-23,192.0
2025-04-24,176.0
2025-04-25,176.0
2025-04-26,180.0
2025-04-27,166.0
2025-04-28,155.0
2025-04-29,143.0
2025-04-30,130.0
2025-05-01,144.0
2025-05-02,149.0
2025-05-03,134.0
2025-05-04,175.0
2025-05-05,174.0
2025-05-06,180.0
2025-05-07,151.0
2025-05-08,143.0
2025-05-09,150.0
2025-05-10,139.0
2025-05-11,149.0
2025-05-12,184.0
2025-05-13,145.0
2025-05-14,139.0
2025-05-15,157.0
2025-05-16,148.0
2025-05-17,150.0
2025-05-18,164.0
2025-05-19,173.0
2025-05-20,162.0
2025-05-21,158.0
2025-05-22,168.0
2025-05-23,149.0
2025-05-24,138.0
2025-05-25,161.0
2025-05-26,156.0
2025-05-27,165.0
2025-05-28,117.0
2025-05-29,132.0
2025-05-30,152.0
2025-05-31,146.0
2025-06-01,173.0
2025-06-02,146.0
2025-06-03,142.0
2025-06-04,144.0
2025-06-05,149.0
2025-06-06,137.0
2025-06-07,144.0
2025-06-08,149.0
