Daily Mean data	    supplied by UK-air on 14/06/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Birmingham A4540 Roadside",,"Birmingham Ladywood",,"Shrewsbury Underdale",
Latitude,52.476145,,52.481346,,52.715083,,
Longitude,-1.874978,,-1.918235,,-2.726833,,
Site Type,Urban Traffic,,Urban Background,,Urban Background,,
Zone,West Midlands,,West Midlands,,West Midlands,,
Agglomeration,West Midlands Urban Area,,West Midlands Urban Area,,#N/A,,
Local Authority,"Birmingham",,"Birmingham",,"Shropshire",,
Date,"Blue Particulate matter (470nm)",Status,"Blue Particulate matter (470nm)",Status,"Blue Particulate matter (470nm)",Status
2025-02-20,1.29,N ugm-3,No data,N ugm-3,0.21,N ugm-3
2025-02-21,1.28,N ugm-3,0.32,N ugm-3,0.34,N ugm-3
2025-02-22,2.19,N ugm-3,0.42,N ugm-3,0.57,N ugm-3
2025-02-23,0.81,N ugm-3,No data,N ugm-3,0.18,N ugm-3
2025-02-24,1.34,N ugm-3,No data,N ugm-3,0.27,N ugm-3
2025-02-25,1.43,N ugm-3,0.4,N ugm-3,0.45,N ugm-3
2025-02-26,1.35,N ugm-3,0.32,N ugm-3,0.36,N ugm-3
2025-02-27,1.35,N ugm-3,0.56,N ugm-3,No data,N ugm-3
2025-02-28,3.92,N ugm-3,1.15,N ugm-3,No data,N ugm-3
2025-03-01,5.43,N ugm-3,2.59,N ugm-3,4.25,N ugm-3
2025-03-02,5.29,N ugm-3,2.32,N ugm-3,No data,N ugm-3
2025-03-03,3.33,N ugm-3,1.64,N ugm-3,1.18,N ugm-3
2025-03-04,3.12,N ugm-3,1.56,N ugm-3,1.13,N ugm-3
2025-03-05,2.59,N ugm-3,No data,N ugm-3,0.97,N ugm-3
2025-03-06,3.37,N ugm-3,No data,N ugm-3,1.28,N ugm-3
2025-03-07,2.09,N ugm-3,0.92,N ugm-3,0.8,N ugm-3
2025-03-08,2.49,N ugm-3,1.63,N ugm-3,No data,N ugm-3
2025-03-09,2.71,N ugm-3,1.88,N ugm-3,No data,N ugm-3
2025-03-10,2.55,N ugm-3,2.18,N ugm-3,2.57,N ugm-3
2025-03-11,1.05,N ugm-3,0.46,N ugm-3,0.47,N ugm-3
2025-03-12,1.42,N ugm-3,0.66,N ugm-3,0.69,N ugm-3
2025-03-13,No data,N ugm-3,0.83,N ugm-3,0.5,N ugm-3
2025-03-14,No data,N ugm-3,0.87,N ugm-3,0.77,N ugm-3
2025-03-15,0.89,N ugm-3,0,N ugm-3,0.95,N ugm-3
2025-03-16,1.17,N ugm-3,0,N ugm-3,0.83,N ugm-3
2025-03-17,0.99,N ugm-3,0.31,N ugm-3,0.43,N ugm-3
2025-03-18,0.89,N ugm-3,0.66,N ugm-3,0.67,N ugm-3
2025-03-19,4.89,N ugm-3,3.1,N ugm-3,1.93,N ugm-3
2025-03-20,5.69,N ugm-3,3.65,N ugm-3,No data,N ugm-3
2025-03-21,1.71,N ugm-3,1.48,N ugm-3,No data,N ugm-3
2025-03-22,No data,N ugm-3,0.9,N ugm-3,0.92,N ugm-3
2025-03-23,No data,N ugm-3,1.19,N ugm-3,1.22,N ugm-3
2025-03-24,No data,N ugm-3,2.05,N ugm-3,1.75,N ugm-3
2025-03-25,0.88,N ugm-3,1.17,N ugm-3,0.67,N ugm-3
2025-03-26,2.21,N ugm-3,0.9,N ugm-3,0.51,N ugm-3
2025-03-27,1.44,N ugm-3,0.43,N ugm-3,0.15,N ugm-3
2025-03-28,0.95,N ugm-3,0.38,N ugm-3,No data,N ugm-3
2025-03-29,0.99,N ugm-3,0.31,N ugm-3,No data,N ugm-3
2025-03-30,0.81,N ugm-3,0.33,N ugm-3,0.43,N ugm-3
2025-03-31,No data,N ugm-3,1.26,N ugm-3,2.19,N ugm-3
2025-04-01,No data,N ugm-3,0.53,N ugm-3,No data,N ugm-3
2025-04-02,0.79,N ugm-3,0.55,N ugm-3,No data,N ugm-3
2025-04-03,1.35,N ugm-3,1.16,N ugm-3,No data,N ugm-3
2025-04-04,0.97,N ugm-3,0.88,N ugm-3,0.73,N ugm-3
2025-04-05,0.7,N ugm-3,0.34,N ugm-3,0.28,N ugm-3
2025-04-06,0.75,N ugm-3,0.4,N ugm-3,0.32,N ugm-3
2025-04-07,0.98,N ugm-3,0.64,N ugm-3,0.6,N ugm-3
2025-04-08,1.36,N ugm-3,0.9,N ugm-3,No data,N ugm-3
2025-04-09,1.25,N ugm-3,0.89,N ugm-3,No data,N ugm-3
2025-04-10,2.2,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-11,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-12,2.92,N ugm-3,1.35,N ugm-3,1.28,N ugm-3
2025-04-13,1.38,N ugm-3,0.55,N ugm-3,0.29,N ugm-3
2025-04-14,1.53,N ugm-3,No data,N ugm-3,0.21,N ugm-3
2025-04-15,1.14,N ugm-3,No data,N ugm-3,0.75,N ugm-3
2025-04-16,0.84,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-17,1.73,N ugm-3,No data,N ugm-3,0.49,N ugm-3
2025-04-18,1.22,N ugm-3,No data,N ugm-3,0.51,N ugm-3
2025-04-19,1.36,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-20,0.76,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-21,1.45,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-22,1.56,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-23,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
